"filename", "language", "JavaScript", "Vue", "JSON with Comments", "HTML", "JSON", "CSS", "TypeScript", "XML", "Markdown", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue", "Vue", 0, 265, 0, 0, 0, 0, 0, 0, 0, 17, 12, 294
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login.vue", "Vue", 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 10, 143
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login2.vue", "Vue", 0, 157, 0, 0, 0, 0, 0, 0, 0, 2, 13, 172
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, 183, 0, 0, 0, 0, 0, 0, 0, 28, 19, 230
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, 361, 0, 0, 0, 0, 0, 0, 0, 37, 27, 425
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, 227, 0, 0, 0, 0, 0, 0, 0, 21, 13, 261
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 529, 0, 0, 0, 0, 0, 0, 0, 42, 28, 599
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue", "Vue", 0, 245, 0, 0, 0, 0, 0, 0, 0, 49, 14, 308
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 753, 0, 0, 0, 0, 0, 0, 0, 63, 33, 849
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\video.vue", "Vue", 0, 206, 0, 0, 0, 0, 0, 0, 0, 22, 14, 242
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue", "Vue", 0, 791, 0, 0, 0, 0, 0, 0, 0, 129, 41, 961
"d:\qianduan\musicProject\ACGMusic\music\vue.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 43
"Total", "-", 890, 10512, 9, 22, 23643, 268, 31, 102, 19, 1368, 1023, 37887
